ontology_order,structure_id,name,acronym,major_division,DMN_voxels,core_voxels,total_voxels,percent_core,percent_DMN
44,353,Primary somatosensory area nose,SSp-n,Isocortex,0,0,418941,0,0
114,677,Visceral area,VISC,Isocortex,0,0,389783,0,0
150,1018,Ventral auditory area,AUDv,Isocortex,0,0,305212,0,0
213,312782628,Postrhinal area,VISpor,Isocortex,0,0,228042,0,0
285,111,Agranular insular area posterior part,AIp,Isocortex,0,0,407347,0,0
367,922,Perirhinal area,PERI,Isocortex,0,0,146873,0,0
373,895,Ectorhinal area,ECT,Isocortex,0,0,310894,0,0
421,619,Nucleus of the lateral olfactory tract,NLOT,Olfactory areas,0,0,58155,0,0
427,639,Cortical amygdalar area anterior part,COAa,Olfactory areas,0,0,145771,0,0
431,647,Cortical amygdalar area posterior part,COAp,Olfactory areas,0,0,507264,0,0
444,788,Piriform-amygdalar area,PAA,Olfactory areas,0,0,242330,0,0
449,566,Postpiriform transition area,TR,Olfactory areas,0,0,269830,0,0
490,982,Fasciola cinerea,FC,Hippocampal formation,0,0,8605,0,0
494,918,Entorhinal area lateral part,ENTl,Hippocampal formation,0,0,1242122,0,0
507,926,Entorhinal area medial part dorsal zone,ENTm,Hippocampal formation,0,0,1003962,0,0
523,843,Parasubiculum,PAR,Hippocampal formation,0,0,176669,0,0
527,1037,Postsubiculum,POST,Hippocampal formation,0,0,183124,0,0
531,1084,Presubiculum,PRE,Hippocampal formation,0,0,168986,0,0
535,502,Subiculum,SUB,Hippocampal formation,0,0,382602,0,0
544,484682470,Prosubiculum,ProS,Hippocampal formation,0,0,215930,0,0
553,589508447,Hippocampo-amygdalar transition area,HATA,Hippocampal formation,0,0,85371,0,0
554,484682508,Area prostriata,APr,Hippocampal formation,0,0,64199,0,0
560,966,Endopiriform nucleus ventral part,EPv,Cortical subplate,0,0,179724,0,0
561,131,Lateral amygdalar nucleus,LA,Cortical subplate,0,0,153334,0,0
562,295,Basolateral amygdalar nucleus,BLA,Cortical subplate,0,0,357014,0,0
