,Region ID,Region Name,Region pixels,Region area,Area unit,Object count,Object pixels,Object area,Area unit.1,Load,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,sex,dataset,drug,normalized cells,total_cells,percent_cells
0,0,Clear Label,0,0.0,pixels,15436,82478,82478,pixels,0.0,,,,,,,,,,,,,,,f,sal1,sal,inf,139150,11.093065037729069
1,997,root,2790141,2790140.575378,pixels,902,4881,4881,pixels,0.001749,,,,,,,,,,,,,,,f,sal1,sal,0.0003232812023737549,139150,0.6482213438735178
2,8,Basic cell groups and regions,0,0.0,pixels,0,0,0,pixels,0.0,,,,,,,,,,,,,,,f,sal1,sal,,139150,0.0
3,567,Cerebrum,0,0.0,pixels,0,0,0,pixels,0.0,,,,,,,,,,,,,,,f,sal1,sal,,139150,0.0
4,688,Cerebral cortex,0,0.0,pixels,0,0,0,pixels,0.0,,,,,,,,,,,,,,,f,sal1,sal,,139150,0.0
5,695,Cortical plate,0,0.0,pixels,0,0,0,pixels,0.0,,,,,,,,,,,,,,,f,sal1,sal,,139150,0.0
6,315,Isocortex,0,0.0,pixels,0,0,0,pixels,0.0,,,,,,,,,,,,,,,f,sal1,sal,,139150,0.0
7,184,"Frontal pole, cerebral cortex",0,0.0,pixels,0,0,0,pixels,0.0,,,,,,,,,,,,,,,f,sal1,sal,,139150,0.0
8,68,"Frontal pole, layer 1",303254,303253.53949,pixels,23,114,114,pixels,0.000376,,,,,,,,,,,,,,,f,sal1,sal,7.584412712438742e-05,139150,0.01652892561983471
9,667,"Frontal pole, layer 2/3",275308,275308.18850700004,pixels,2,9,9,pixels,3.3e-05,,,,,,,,,,,,,,,f,sal1,sal,7.264585956727355e-06,139150,0.001437297879985627
10,526157192,"Frontal pole, layer 5",209856,209856.076935,pixels,31,149,149,pixels,0.0007099999999999999,,,,,,,,,,,,,,,f,sal1,sal,0.00014772028741203344,139150,0.022278117139777218
11,526157196,"Frontal pole, layer 6a",104533,104532.505562,pixels,16,80,80,pixels,0.0007650000000000001,,,,,,,,,,,,,,,f,sal1,sal,0.00015306243655003685,139150,0.011498383039885016
12,526322264,"Frontal pole, layer 6b",404,403.63079500000003,pixels,0,0,0,pixels,0.0,,,,,,,,,,,,,,,f,sal1,sal,0.0,139150,0.0
13,500,Somatomotor areas,0,0.0,pixels,0,0,0,pixels,0.0,,,,,,,,,,,,,,,f,sal1,sal,,139150,0.0
14,107,"Somatomotor areas, Layer 1",0,0.0,pixels,0,0,0,pixels,0.0,,,,,,,,,,,,,,,f,sal1,sal,,139150,0.0
15,219,"Somatomotor areas, Layer 2/3",0,0.0,pixels,0,0,0,pixels,0.0,,,,,,,,,,,,,,,f,sal1,sal,,139150,0.0
16,299,"Somatomotor areas, Layer 5",0,0.0,pixels,0,0,0,pixels,0.0,,,,,,,,,,,,,,,f,sal1,sal,,139150,0.0
17,644,"Somatomotor areas, Layer 6a",0,0.0,pixels,0,0,0,pixels,0.0,,,,,,,,,,,,,,,f,sal1,sal,,139150,0.0
18,947,"Somatomotor areas, Layer 6b",0,0.0,pixels,0,0,0,pixels,0.0,,,,,,,,,,,,,,,f,sal1,sal,,139150,0.0
