id,name,acronym,parent_structure_id,depth,count,volume (mm^3),density (cells/mm^3)
-1,background,bkd,-2.0,-1.0,83608.0,699.556515625,119.51571907711084
0,left root,root-L,-1.0,0.0,288754.0,250.9855625,1150.480518177216
1,left Basic cell groups and regions,grey-L,0.0,1.0,275784.0,224.5929375,1227.9281934232683
2,left Cerebrum,CH-L,1.0,2.0,194385.0,137.89371875,1409.672621509455
3,left Cerebral cortex,CTX-L,2.0,3.0,173425.0,110.753453125,1565.8653983841646
4,left Cortical plate,CTXpl-L,3.0,4.0,162149.0,106.300359375,1525.3852475510505
5,left Isocortex,Isocortex-L,4.0,5.0,80022.0,61.627640625,1298.4758006059071
6,"left Frontal pole, cerebral cortex",FRP-L,5.0,6.0,223.0,0.4861875,458.67078030595195
7,"left Frontal pole, layer 1",FRP1-L,6.0,7.0,132.0,0.12675,1041.4201183431953
8,"left Frontal pole, layer 2/3",FRP2/3-L,6.0,7.0,13.0,0.11703125,111.08144192256341
9,"left Frontal pole, layer 5",FRP5-L,6.0,7.0,44.0,0.185796875,236.8177613320999
10,"left Frontal pole, layer 6a",FRP6a-L,6.0,7.0,34.0,0.05609375,606.1281337047354
11,"left Frontal pole, layer 6b",FRP6b-L,6.0,7.0,0.0,0.000515625,0.0
12,left Somatomotor areas,MO-L,5.0,6.0,2746.0,12.231046875,224.51062677331126
18,left Primary motor area,MOp-L,12.0,7.0,1134.0,5.676734375,199.76273770956564
19,"left Primary motor area, Layer 1",MOp1-L,18.0,8.0,330.0,0.664609375,496.53226754437526
20,"left Primary motor area, Layer 2/3",MOp2/3-L,18.0,8.0,422.0,1.8444375,228.7960421537732
21,"left Primary motor area, Layer 5",MOp5-L,18.0,8.0,195.0,1.636203125,119.17835690480057
22,"left Primary motor area, Layer 6a",MOp6a-L,18.0,8.0,181.0,1.437953125,125.87336600419434
23,"left Primary motor area, Layer 6b",MOp6b-L,18.0,8.0,6.0,0.09353125,64.14968259271635
24,left Secondary motor area,MOs-L,12.0,7.0,1612.0,6.5543125,245.94494083094145
25,"left Secondary motor area, layer 1",MOs1-L,24.0,8.0,667.0,1.1643125,572.8702560523914
26,"left Secondary motor area, layer 2/3",MOs2/3-L,24.0,8.0,400.0,1.901640625,210.34468592087424
27,"left Secondary motor area, layer 5",MOs5-L,24.0,8.0,289.0,2.26159375,127.78599162648023
28,"left Secondary motor area, layer 6a",MOs6a-L,24.0,8.0,252.0,1.189171875,211.91217627813472
29,"left Secondary motor area, layer 6b",MOs6b-L,24.0,8.0,4.0,0.03759375,106.40066500415627
30,left Somatosensory areas,SS-L,5.0,6.0,6537.0,16.666171875,392.2316443769424
37,left Primary somatosensory area,SSp-L,30.0,7.0,3113.0,12.1535,256.14020652486937
44,"left Primary somatosensory area, nose",SSp-n-L,37.0,8.0,367.0,1.509703125,243.09415137495992
45,"left Primary somatosensory area, nose, layer 1",SSp-n1-L,44.0,9.0,35.0,0.2028125,172.57318952234206
46,"left Primary somatosensory area, nose, layer 2/3",SSp-n2/3-L,44.0,9.0,43.0,0.3201875,134.29631075541676
47,"left Primary somatosensory area, nose, layer 4",SSp-n4-L,44.0,9.0,7.0,0.274109375,25.53725132531494
48,"left Primary somatosensory area, nose, layer 5",SSp-n5-L,44.0,9.0,70.0,0.283515625,246.8999724441995
49,"left Primary somatosensory area, nose, layer 6a",SSp-n6a-L,44.0,9.0,192.0,0.402328125,477.2224164045206
50,"left Primary somatosensory area, nose, layer 6b",SSp-n6b-L,44.0,9.0,20.0,0.02675,747.6635514018692
51,"left Primary somatosensory area, barrel field",SSp-bfd-L,37.0,8.0,1125.0,3.145734375,357.62714390022205
52,"left Primary somatosensory area, barrel field, layer 1",SSp-bfd1-L,51.0,9.0,139.0,0.419375,331.4456035767511
53,"left Primary somatosensory area, barrel field, layer 2/3",SSp-bfd2/3-L,51.0,9.0,265.0,0.75821875,349.5033590240283
54,"left Primary somatosensory area, barrel field, layer 4",SSp-bfd4-L,51.0,9.0,135.0,0.641265625,210.52118613094225
55,"left Primary somatosensory area, barrel field, layer 5",SSp-bfd5-L,51.0,9.0,186.0,0.603984375,307.95498641831585
56,"left Primary somatosensory area, barrel field, layer 6a",SSp-bfd6a-L,51.0,9.0,353.0,0.648828125,544.0577965081277
57,"left Primary somatosensory area, barrel field, layer 6b",SSp-bfd6b-L,51.0,9.0,47.0,0.0740625,634.5991561181435
65,"left Primary somatosensory area, lower limb",SSp-ll-L,37.0,8.0,256.0,1.176484375,217.59745002988245
66,"left Primary somatosensory area, lower limb, layer 1",SSp-ll1-L,65.0,9.0,47.0,0.149265625,314.8749084057364
67,"left Primary somatosensory area, lower limb, layer 2/3",SSp-ll2/3-L,65.0,9.0,108.0,0.32325,334.1067285382831
68,"left Primary somatosensory area, lower limb, layer 4",SSp-ll4-L,65.0,9.0,20.0,0.1366875,146.3191586648377
69,"left Primary somatosensory area, lower limb, layer 5",SSp-ll5-L,65.0,9.0,45.0,0.278,161.87050359712228
70,"left Primary somatosensory area, lower limb, layer 6a",SSp-ll6a-L,65.0,9.0,33.0,0.263890625,125.0518088696785
71,"left Primary somatosensory area, lower limb, layer 6b",SSp-ll6b-L,65.0,9.0,3.0,0.025390625,118.15384615384616
72,"left Primary somatosensory area, mouth",SSp-m-L,37.0,8.0,477.0,3.105328125,153.60695578667713
73,"left Primary somatosensory area, mouth, layer 1",SSp-m1-L,72.0,9.0,149.0,0.3904375,381.62317912598047
74,"left Primary somatosensory area, mouth, layer 2/3",SSp-m2/3-L,72.0,9.0,102.0,0.7490625,136.17021276595744
75,"left Primary somatosensory area, mouth, layer 4",SSp-m4-L,72.0,9.0,24.0,0.4736875,50.66631481725822
76,"left Primary somatosensory area, mouth, layer 5",SSp-m5-L,72.0,9.0,55.0,0.60871875,90.35371425637867
77,"left Primary somatosensory area, mouth, layer 6a",SSp-m6a-L,72.0,9.0,135.0,0.82609375,163.41970871950068
78,"left Primary somatosensory area, mouth, layer 6b",SSp-m6b-L,72.0,9.0,12.0,0.057328125,209.32134096484054
79,"left Primary somatosensory area, upper limb",SSp-ul-L,37.0,8.0,271.0,1.88471875,143.7880320339573
80,"left Primary somatosensory area, upper limb, layer 1",SSp-ul1-L,79.0,9.0,102.0,0.230640625,442.2464602669196
81,"left Primary somatosensory area, upper limb, layer 2/3",SSp-ul2/3-L,79.0,9.0,71.0,0.4891875,145.13862271623867
82,"left Primary somatosensory area, upper limb, layer 4",SSp-ul4-L,79.0,9.0,17.0,0.261640625,64.9746192893401
83,"left Primary somatosensory area, upper limb, layer 5",SSp-ul5-L,79.0,9.0,26.0,0.395625,65.71879936808847
84,"left Primary somatosensory area, upper limb, layer 6a",SSp-ul6a-L,79.0,9.0,51.0,0.470546875,108.38452598372905
