id,name,acronym,parent_structure_id,depth,count,volume (mm^3),density (cells/mm^3)
-1,background,bkd,-2,-1,54049,699.5565156,77.26180629
0,left root,root-L,-1,0,190913,250.9855625,760.6533145
1,left Basic cell groups and regions,grey-L,0,1,182856,224.5929375,814.1662959
2,left Cerebrum,CH-L,1,2,136378,137.8937188,989.0080653
3,left Cerebral cortex,CTX-L,2,3,124018,110.7534531,1119.766441
4,left Cortical plate,CTXpl-L,3,4,118929,106.3003594,1118.801486
5,left Isocortex,Isocortex-L,4,5,60110,61.62764063,975.3740268
6,"left Frontal pole, cerebral cortex",FRP-L,5,6,78,0.4861875,160.4319321
7,"left Frontal pole, layer 1",FRP1-L,6,7,19,0.12675,149.9013807
8,"left Frontal pole, layer 2/3",FRP2/3-L,6,7,7,0.11703125,59.81308411
9,"left Frontal pole, layer 5",FRP5-L,6,7,29,0.185796875,156.0844336
10,"left Frontal pole, layer 6a",FRP6a-L,6,7,23,0.05609375,410.0278552
11,"left Frontal pole, layer 6b",FRP6b-L,6,7,0,0.000515625,0
12,left Somatomotor areas,MO-L,5,6,1309,12.23104688,107.0227278
18,left Primary motor area,MOp-L,12,7,650,5.676734375,114.5024511
19,"left Primary motor area, Layer 1",MOp1-L,18,8,250,0.664609375,376.1608087
20,"left Primary motor area, Layer 2/3",MOp2/3-L,18,8,231,1.8444375,125.2414354
21,"left Primary motor area, Layer 5",MOp5-L,18,8,99,1.636203125,60.50593504
22,"left Primary motor area, Layer 6a",MOp6a-L,18,8,69,1.437953125,47.98487433
23,"left Primary motor area, Layer 6b",MOp6b-L,18,8,1,0.09353125,10.69161377
24,left Secondary motor area,MOs-L,12,7,659,6.5543125,100.5444888
25,"left Secondary motor area, layer 1",MOs1-L,24,8,348,1.1643125,298.8888292
26,"left Secondary motor area, layer 2/3",MOs2/3-L,24,8,176,1.901640625,92.55166181
27,"left Secondary motor area, layer 5",MOs5-L,24,8,87,2.26159375,38.46844731
28,"left Secondary motor area, layer 6a",MOs6a-L,24,8,46,1.189171875,38.68238138
29,"left Secondary motor area, layer 6b",MOs6b-L,24,8,2,0.03759375,53.2003325
30,left Somatosensory areas,SS-L,5,6,7174,16.66617188,430.4527791
37,left Primary somatosensory area,SSp-L,30,7,1411,12.1535,116.0982433
44,"left Primary somatosensory area, nose",SSp-n-L,37,8,76,1.509703125,50.34102317
45,"left Primary somatosensory area, nose, layer 1",SSp-n1-L,44,9,40,0.2028125,197.2265023
46,"left Primary somatosensory area, nose, layer 2/3",SSp-n2/3-L,44,9,13,0.3201875,40.60121023
47,"left Primary somatosensory area, nose, layer 4",SSp-n4-L,44,9,6,0.274109375,21.88907256
48,"left Primary somatosensory area, nose, layer 5",SSp-n5-L,44,9,4,0.283515625,14.10856985
49,"left Primary somatosensory area, nose, layer 6a",SSp-n6a-L,44,9,13,0.402328125,32.31193444
