id,name,acronym,parent_structure_id,depth,count,volume (mm^3),density (cells/mm^3)
-1,background,bkd,-2.0,-1.0,59088.0,699.556515625,84.46494125954844
0,left root,root-L,-1.0,0.0,811653.0,250.9855625,3233.8633023961293
1,left Basic cell groups and regions,grey-L,0.0,1.0,783647.0,224.5929375,3489.188078320584
2,left Cerebrum,CH-L,1.0,2.0,670286.0,137.89371875,4860.888560234002
3,left Cerebral cortex,CTX-L,2.0,3.0,606636.0,110.753453125,5477.3551784009
4,left Cortical plate,CTXpl-L,3.0,4.0,591439.0,106.300359375,5563.847605759799
5,left Isocortex,Isocortex-L,4.0,5.0,410079.0,61.627640625,6654.14083422896
6,"left Frontal pole, cerebral cortex",FRP-L,5.0,6.0,3756.0,0.4861875,7725.414577709217
7,"left Frontal pole, layer 1",FRP1-L,6.0,7.0,1679.0,0.12675,13246.548323471401
8,"left Frontal pole, layer 2/3",FRP2/3-L,6.0,7.0,658.0,0.11703125,5622.4299065420555
9,"left Frontal pole, layer 5",FRP5-L,6.0,7.0,1125.0,0.185796875,6054.999579513918
10,"left Frontal pole, layer 6a",FRP6a-L,6.0,7.0,292.0,0.05609375,5205.571030640669
11,"left Frontal pole, layer 6b",FRP6b-L,6.0,7.0,2.0,0.000515625,3878.7878787878785
12,left Somatomotor areas,MO-L,5.0,6.0,52100.0,12.231046875,4259.651731569379
18,left Primary motor area,MOp-L,12.0,7.0,27284.0,5.676734375,4806.284422987468
19,"left Primary motor area, Layer 1",MOp1-L,18.0,8.0,2460.0,0.664609375,3701.42235805807
20,"left Primary motor area, Layer 2/3",MOp2/3-L,18.0,8.0,11890.0,1.8444375,6446.40981328996
21,"left Primary motor area, Layer 5",MOp5-L,18.0,8.0,7815.0,1.636203125,4776.301842107776
22,"left Primary motor area, Layer 6a",MOp6a-L,18.0,8.0,4911.0,1.437953125,3415.2712731856263
23,"left Primary motor area, Layer 6b",MOp6b-L,18.0,8.0,208.0,0.09353125,2223.8556632141663
24,left Secondary motor area,MOs-L,12.0,7.0,24816.0,6.5543125,3786.2094613279423
25,"left Secondary motor area, layer 1",MOs1-L,24.0,8.0,4189.0,1.1643125,3597.8313382360834
26,"left Secondary motor area, layer 2/3",MOs2/3-L,24.0,8.0,8196.0,1.901640625,4309.962614518713
27,"left Secondary motor area, layer 5",MOs5-L,24.0,8.0,9388.0,2.26159375,4151.0549805861465
28,"left Secondary motor area, layer 6a",MOs6a-L,24.0,8.0,2950.0,1.189171875,2480.7179365892757
29,"left Secondary motor area, layer 6b",MOs6b-L,24.0,8.0,93.0,0.03759375,2473.815461346633
30,left Somatosensory areas,SS-L,5.0,6.0,113465.0,16.666171875,6808.102115531555
