id,name,acronym,parent_structure_id,depth,count,volume (mm^3),density (cells/mm^3)
-1,background,bkd,-2,-1,41620,699.5565156,59.49483576
0,left root,root-L,-1,0,382365,250.9855625,1523.454163
1,left Basic cell groups and regions,grey-L,0,1,368108,224.5929375,1639.000781
2,left Cerebrum,CH-L,1,2,304187,137.8937188,2205.952546
3,left Cerebral cortex,CTX-L,2,3,274692,110.7534531,2480.211607
4,left Cortical plate,CTXpl-L,3,4,262454,106.3003594,2468.985068
5,left Isocortex,Isocortex-L,4,5,190427,61.62764063,3089.960902
6,"left Frontal pole, cerebral cortex",FRP-L,5,6,887,0.4861875,1824.399023
7,"left Frontal pole, layer 1",FRP1-L,6,7,402,0.12675,3171.597633
8,"left Frontal pole, layer 2/3",FRP2/3-L,6,7,145,0.11703125,1238.985314
9,"left Frontal pole, layer 5",FRP5-L,6,7,272,0.185796875,1463.964343
10,"left Frontal pole, layer 6a",FRP6a-L,6,7,68,0.05609375,1212.256267
11,"left Frontal pole, layer 6b",FRP6b-L,6,7,0,0.000515625,0
12,left Somatomotor areas,MO-L,5,6,14477,12.23104688,1183.627219
18,left Primary motor area,MOp-L,12,7,6921,5.676734375,1219.186867
19,"left Primary motor area, Layer 1",MOp1-L,18,8,1053,0.664609375,1584.389326
20,"left Primary motor area, Layer 2/3",MOp2/3-L,18,8,2922,1.8444375,1584.222832
21,"left Primary motor area, Layer 5",MOp5-L,18,8,2092,1.636203125,1278.56986
22,"left Primary motor area, Layer 6a",MOp6a-L,18,8,813,1.437953125,565.3869976
23,"left Primary motor area, Layer 6b",MOp6b-L,18,8,41,0.09353125,438.3561644
24,left Secondary motor area,MOs-L,12,7,7556,6.5543125,1152.828767
25,"left Secondary motor area, layer 1",MOs1-L,24,8,2624,1.1643125,2253.690483
26,"left Secondary motor area, layer 2/3",MOs2/3-L,24,8,2214,1.901640625,1164.257837
27,"left Secondary motor area, layer 5",MOs5-L,24,8,1958,2.26159375,865.7611474
28,"left Secondary motor area, layer 6a",MOs6a-L,24,8,734,1.189171875,617.2362595
29,"left Secondary motor area, layer 6b",MOs6b-L,24,8,26,0.03759375,691.6043225
30,left Somatosensory areas,SS-L,5,6,42921,16.66617188,2575.336455
37,left Primary somatosensory area,SSp-L,30,7,19120,12.1535,1573.209364
44,"left Primary somatosensory area, nose",SSp-n-L,37,8,3706,1.509703125,2454.787262
45,"left Primary somatosensory area, nose, layer 1",SSp-n1-L,44,9,502,0.2028125,2475.192604
46,"left Primary somatosensory area, nose, layer 2/3",SSp-n2/3-L,44,9,1141,0.3201875,3563.53699
47,"left Primary somatosensory area, nose, layer 4",SSp-n4-L,44,9,730,0.274109375,2663.170495
48,"left Primary somatosensory area, nose, layer 5",SSp-n5-L,44,9,503,0.283515625,1774.152659
49,"left Primary somatosensory area, nose, layer 6a",SSp-n6a-L,44,9,806,0.402328125,2003.339936
50,"left Primary somatosensory area, nose, layer 6b",SSp-n6b-L,44,9,24,0.02675,897.1962617
51,"left Primary somatosensory area, barrel field",SSp-bfd-L,37,8,4611,3.145734375,1465.794454
52,"left Primary somatosensory area, barrel field, layer 1",SSp-bfd1-L,51,9,786,0.419375,1874.217586
53,"left Primary somatosensory area, barrel field, layer 2/3",SSp-bfd2/3-L,51,9,1531,0.75821875,2019.206199
54,"left Primary somatosensory area, barrel field, layer 4",SSp-bfd4-L,51,9,1051,0.641265625,1638.946419
55,"left Primary somatosensory area, barrel field, layer 5",SSp-bfd5-L,51,9,628,0.603984375,1039.761997
56,"left Primary somatosensory area, barrel field, layer 6a",SSp-bfd6a-L,51,9,548,0.648828125,844.5996388
57,"left Primary somatosensory area, barrel field, layer 6b",SSp-bfd6b-L,51,9,67,0.0740625,904.6413502
65,"left Primary somatosensory area, lower limb",SSp-ll-L,37,8,812,1.176484375,690.1919118
66,"left Primary somatosensory area, lower limb, layer 1",SSp-ll1-L,65,9,199,0.149265625,1333.193761
67,"left Primary somatosensory area, lower limb, layer 2/3",SSp-ll2/3-L,65,9,353,0.32325,1092.034029
68,"left Primary somatosensory area, lower limb, layer 4",SSp-ll4-L,65,9,107,0.1366875,782.8074989
69,"left Primary somatosensory area, lower limb, layer 5",SSp-ll5-L,65,9,70,0.278,251.7985612
70,"left Primary somatosensory area, lower limb, layer 6a",SSp-ll6a-L,65,9,77,0.263890625,291.787554
71,"left Primary somatosensory area, lower limb, layer 6b",SSp-ll6b-L,65,9,6,0.025390625,236.3076923
72,"left Primary somatosensory area, mouth",SSp-m-L,37,8,7891,3.105328125,2541.116327
73,"left Primary somatosensory area, mouth, layer 1",SSp-m1-L,72,9,1144,0.3904375,2930.046422
74,"left Primary somatosensory area, mouth, layer 2/3",SSp-m2/3-L,72,9,2602,0.7490625,3473.675428
75,"left Primary somatosensory area, mouth, layer 4",SSp-m4-L,72,9,1181,0.4736875,2493.204908
76,"left Primary somatosensory area, mouth, layer 5",SSp-m5-L,72,9,1257,0.60871875,2064.993069
77,"left Primary somatosensory area, mouth, layer 6a",SSp-m6a-L,72,9,1648,0.82609375,1994.930963
78,"left Primary somatosensory area, mouth, layer 6b",SSp-m6b-L,72,9,59,0.057328125,1029.16326
79,"left Primary somatosensory area, upper limb",SSp-ul-L,37,8,758,1.88471875,402.1820232
80,"left Primary somatosensory area, upper limb, layer 1",SSp-ul1-L,79,9,168,0.230640625,728.4059346
81,"left Primary somatosensory area, upper limb, layer 2/3",SSp-ul2/3-L,79,9,199,0.4891875,406.7969848
82,"left Primary somatosensory area, upper limb, layer 4",SSp-ul4-L,79,9,179,0.261640625,684.1445208
83,"left Primary somatosensory area, upper limb, layer 5",SSp-ul5-L,79,9,101,0.395625,255.2922591
84,"left Primary somatosensory area, upper limb, layer 6a",SSp-ul6a-L,79,9,98,0.470546875,208.2683048
85,"left Primary somatosensory area, upper limb, layer 6b",SSp-ul6b-L,79,9,13,0.037078125,350.6110409
86,"left Primary somatosensory area, trunk",SSp-tr-L,37,8,865,0.700375,1235.05265
87,"left Primary somatosensory area, trunk, layer 1",SSp-tr1-L,86,9,204,0.10228125,1994.500458
88,"left Primary somatosensory area, trunk, layer 2/3",SSp-tr2/3-L,86,9,249,0.21225,1173.144876
89,"left Primary somatosensory area, trunk, layer 4",SSp-tr4-L,86,9,137,0.07596875,1803.373097
90,"left Primary somatosensory area, trunk, layer 5",SSp-tr5-L,86,9,173,0.17646875,980.3435452
91,"left Primary somatosensory area, trunk, layer 6a",SSp-tr6a-L,86,9,89,0.11621875,765.7972573
92,"left Primary somatosensory area, trunk, layer 6b",SSp-tr6b-L,86,9,13,0.0171875,756.3636364
93,"left Primary somatosensory area, unassigned",SSp-un-L,37,8,477,0.63115625,755.7558053
94,"left Primary somatosensory area, unassigned, layer 1",SSp-un1-L,93,9,140,0.08315625,1683.577602
95,"left Primary somatosensory area, unassigned, layer 2/3",SSp-un2/3-L,93,9,119,0.165390625,719.5087388
96,"left Primary somatosensory area, unassigned, layer 4",SSp-un4-L,93,9,81,0.09409375,860.8435736
97,"left Primary somatosensory area, unassigned, layer 5",SSp-un5-L,93,9,77,0.129125,596.321394
98,"left Primary somatosensory area, unassigned, layer 6a",SSp-un6a-L,93,9,56,0.146953125,381.0738969
99,"left Primary somatosensory area, unassigned, layer 6b",SSp-un6b-L,93,9,4,0.0124375,321.6080402
100,left Supplemental somatosensory area,SSs-L,30,7,23801,4.512671875,5274.258944
101,"left Supplemental somatosensory area, layer 1",SSs1-L,100,8,1675,0.624,2684.294872
102,"left Supplemental somatosensory area, layer 2/3",SSs2/3-L,100,8,6837,1.072484375,6374.91805
103,"left Supplemental somatosensory area, layer 4",SSs4-L,100,8,4406,0.5831875,7555.031615
104,"left Supplemental somatosensory area, layer 5",SSs5-L,100,8,5169,1.092734375,4730.335311
105,"left Supplemental somatosensory area, layer 6a",SSs6a-L,100,8,5335,1.037703125,5141.162122
106,"left Supplemental somatosensory area, layer 6b",SSs6b-L,100,8,379,0.1025625,3695.307739
107,left Gustatory areas,GU-L,5,6,5892,0.884859375,6658.685172
108,"left Gustatory areas, layer 1",GU1-L,107,7,377,0.0978125,3854.313099
109,"left Gustatory areas, layer 2/3",GU2/3-L,107,7,1691,0.20109375,8409.013209
110,"left Gustatory areas, layer 4",GU4-L,107,7,663,0.0735,9020.408163
111,"left Gustatory areas, layer 5",GU5-L,107,7,2015,0.272515625,7394.071441
112,"left Gustatory areas, layer 6a",GU6a-L,107,7,1115,0.219875,5071.063104
113,"left Gustatory areas, layer 6b",GU6b-L,107,7,31,0.0200625,1545.17134
114,left Visceral area,VISC-L,5,6,8060,1.177078125,6847.463927
115,"left Visceral area, layer 1",VISC1-L,114,7,891,0.171578125,5192.969675
116,"left Visceral area, layer 2/3",VISC2/3-L,114,7,2179,0.268859375,8104.60859
117,"left Visceral area, layer 4",VISC4-L,114,7,610,0.09134375,6678.070476
118,"left Visceral area, layer 5",VISC5-L,114,7,2439,0.35340625,6901.40596
119,"left Visceral area, layer 6a",VISC6a-L,114,7,1830,0.267125,6850.725316
120,"left Visceral area, layer 6b",VISC6b-L,114,7,111,0.024765625,4482.018927
121,left Auditory areas,AUD-L,5,6,35686,2.903578125,12290.35296
122,left Dorsal auditory area,AUDd-L,121,7,3418,0.607375,5627.495369
123,"left Dorsal auditory area, layer 1",AUDd1-L,122,8,342,0.098125,3485.350318
124,"left Dorsal auditory area, layer 2/3",AUDd2/3-L,122,8,1276,0.164,7780.487805
125,"left Dorsal auditory area, layer 4",AUDd4-L,122,8,554,0.06609375,8382.033097
126,"left Dorsal auditory area, layer 5",AUDd5-L,122,8,838,0.17165625,4881.849627
127,"left Dorsal auditory area, layer 6a",AUDd6a-L,122,8,346,0.092265625,3750.042337
128,"left Dorsal auditory area, layer 6b",AUDd6b-L,122,8,62,0.015234375,4069.74359
136,left Primary auditory area,AUDp-L,121,7,15319,1.07671875,14227.48513
137,"left Primary auditory area, layer 1",AUDp1-L,136,8,1026,0.18984375,5404.444444
138,"left Primary auditory area, layer 2/3",AUDp2/3-L,136,8,4141,0.235625,17574.53581
139,"left Primary auditory area, layer 4",AUDp4-L,136,8,2921,0.117375,24886.04899
140,"left Primary auditory area, layer 5",AUDp5-L,136,8,5349,0.3574375,14964.854
141,"left Primary auditory area, layer 6a",AUDp6a-L,136,8,1575,0.149203125,10556.07917
142,"left Primary auditory area, layer 6b",AUDp6b-L,136,8,307,0.027234375,11272.51865
143,left Posterior auditory area,AUDpo-L,121,7,3395,0.306625,11072.15654
144,"left Posterior auditory area, layer 1",AUDpo1-L,143,8,69,0.056703125,1216.86415
145,"left Posterior auditory area, layer 2/3",AUDpo2/3-L,143,8,774,0.073265625,10564.29942
146,"left Posterior auditory area, layer 4",AUDpo4-L,143,8,780,0.0373125,20904.52261
147,"left Posterior auditory area, layer 5",AUDpo5-L,143,8,1308,0.0906875,14423.15644
148,"left Posterior auditory area, layer 6a",AUDpo6a-L,143,8,380,0.039578125,9601.263324
149,"left Posterior auditory area, layer 6b",AUDpo6b-L,143,8,84,0.009078125,9253.012048
150,left Ventral auditory area,AUDv-L,121,7,13554,0.912859375,14847.85102
151,"left Ventral auditory area, layer 1",AUDv1-L,150,8,1182,0.145921875,8100.224863
152,"left Ventral auditory area, layer 2/3",AUDv2/3-L,150,8,3961,0.19434375,20381.4118
