id,name,acronym,parent_structure_id,depth,count,volume (mm^3),density (cells/mm^3)
-1,background,bkd,-2.0,-1.0,64417.0,699.556515625,92.08262457887103
0,left root,root-L,-1.0,0.0,385517.0,250.9855625,1536.012654114318
1,left Basic cell groups and regions,grey-L,0.0,1.0,374930.0,224.5929375,1669.3757344885344
2,left Cerebrum,CH-L,1.0,2.0,308822.0,137.89371875,2239.5653899209965
3,left Cerebral cortex,CTX-L,2.0,3.0,261664.0,110.753453125,2362.5809635450137
4,left Cortical plate,CTXpl-L,3.0,4.0,246939.0,106.300359375,2323.0307164707083
5,left Isocortex,Isocortex-L,4.0,5.0,113909.0,61.627640625,1848.3427053962446
6,"left Frontal pole, cerebral cortex",FRP-L,5.0,6.0,2487.0,0.4861875,5115.310451214809
7,"left Frontal pole, layer 1",FRP1-L,6.0,7.0,1230.0,0.12675,9704.14201183432
8,"left Frontal pole, layer 2/3",FRP2/3-L,6.0,7.0,480.0,0.11703125,4101.468624833111
9,"left Frontal pole, layer 5",FRP5-L,6.0,7.0,583.0,0.185796875,3137.8353376503237
10,"left Frontal pole, layer 6a",FRP6a-L,6.0,7.0,194.0,0.05609375,3458.4958217270196
11,"left Frontal pole, layer 6b",FRP6b-L,6.0,7.0,0.0,0.000515625,0.0
12,left Somatomotor areas,MO-L,5.0,6.0,14481.0,12.231046875,1183.954255755397
18,left Primary motor area,MOp-L,12.0,7.0,4389.0,5.676734375,773.1557811351707
19,"left Primary motor area, Layer 1",MOp1-L,18.0,8.0,974.0,0.664609375,1465.5225108733985
20,"left Primary motor area, Layer 2/3",MOp2/3-L,18.0,8.0,1224.0,1.8444375,663.6169563891431
21,"left Primary motor area, Layer 5",MOp5-L,18.0,8.0,1111.0,1.636203125,679.0110488268381
22,"left Primary motor area, Layer 6a",MOp6a-L,18.0,8.0,1014.0,1.437953125,705.1690228080279
23,"left Primary motor area, Layer 6b",MOp6b-L,18.0,8.0,66.0,0.09353125,705.6465085198797
24,left Secondary motor area,MOs-L,12.0,7.0,10092.0,6.5543125,1539.7495923485492
25,"left Secondary motor area, layer 1",MOs1-L,24.0,8.0,2290.0,1.1643125,1966.8259165816735
26,"left Secondary motor area, layer 2/3",MOs2/3-L,24.0,8.0,3296.0,1.901640625,1733.2402119880037
27,"left Secondary motor area, layer 5",MOs5-L,24.0,8.0,3256.0,2.26159375,1439.6926945876112
28,"left Secondary motor area, layer 6a",MOs6a-L,24.0,8.0,1223.0,1.189171875,1028.4467920165032
29,"left Secondary motor area, layer 6b",MOs6b-L,24.0,8.0,27.0,0.03759375,718.2044887780548
30,left Somatosensory areas,SS-L,5.0,6.0,14754.0,16.666171875,885.2662813427273
37,left Primary somatosensory area,SSp-L,30.0,7.0,9013.0,12.1535,741.5970708026495
44,"left Primary somatosensory area, nose",SSp-n-L,37.0,8.0,1701.0,1.509703125,1126.7115844381656
45,"left Primary somatosensory area, nose, layer 1",SSp-n1-L,44.0,9.0,374.0,0.2028125,1844.0677966101694
