id,name,acronym,parent_structure_id,depth,count,volume (mm^3),density (cells/mm^3)
-1,background,bkd,-2.0,-1.0,82397.0,699.556515625,117.78462234232013
0,left root,root-L,-1.0,0.0,250585.0,250.9855625,998.4040416667393
1,left Basic cell groups and regions,grey-L,0.0,1.0,240329.0,224.5929375,1070.0648144824233
2,left Cerebrum,CH-L,1.0,2.0,187750.0,137.89371875,1361.5558540442944
3,left Cerebral cortex,CTX-L,2.0,3.0,168317.0,110.753453125,1519.744940232535
4,left Cortical plate,CTXpl-L,3.0,4.0,160462.0,106.300359375,1509.5151224647495
5,left Isocortex,Isocortex-L,4.0,5.0,74259.0,61.627640625,1204.9625662592046
6,"left Frontal pole, cerebral cortex",FRP-L,5.0,6.0,230.0,0.4861875,473.06851780434505
7,"left Frontal pole, layer 1",FRP1-L,6.0,7.0,188.0,0.12675,1483.2347140039446
8,"left Frontal pole, layer 2/3",FRP2/3-L,6.0,7.0,0.0,0.11703125,0.0
9,"left Frontal pole, layer 5",FRP5-L,6.0,7.0,38.0,0.185796875,204.524430241359
10,"left Frontal pole, layer 6a",FRP6a-L,6.0,7.0,4.0,0.05609375,71.3091922005571
11,"left Frontal pole, layer 6b",FRP6b-L,6.0,7.0,0.0,0.000515625,0.0
12,left Somatomotor areas,MO-L,5.0,6.0,3539.0,12.231046875,289.34563297550926
18,left Primary motor area,MOp-L,12.0,7.0,2254.0,5.676734375,397.0592687807416
19,"left Primary motor area, Layer 1",MOp1-L,18.0,8.0,1461.0,0.664609375,2198.2837663100977
20,"left Primary motor area, Layer 2/3",MOp2/3-L,18.0,8.0,679.0,1.8444375,368.13391616685306
21,"left Primary motor area, Layer 5",MOp5-L,18.0,8.0,48.0,1.636203125,29.336210930412445
22,"left Primary motor area, Layer 6a",MOp6a-L,18.0,8.0,59.0,1.437953125,41.030544719599256
23,"left Primary motor area, Layer 6b",MOp6b-L,18.0,8.0,7.0,0.09353125,74.84129635816906
24,left Secondary motor area,MOs-L,12.0,7.0,1285.0,6.5543125,196.05412466982617
25,"left Secondary motor area, layer 1",MOs1-L,24.0,8.0,874.0,1.1643125,750.657576896237
26,"left Secondary motor area, layer 2/3",MOs2/3-L,24.0,8.0,273.0,1.901640625,143.56024814099666
27,"left Secondary motor area, layer 5",MOs5-L,24.0,8.0,57.0,2.26159375,25.20346547650302
28,"left Secondary motor area, layer 6a",MOs6a-L,24.0,8.0,77.0,1.189171875,64.75094275165227
29,"left Secondary motor area, layer 6b",MOs6b-L,24.0,8.0,4.0,0.03759375,106.40066500415627
30,left Somatosensory areas,SS-L,5.0,6.0,8275.0,16.666171875,496.5147402813521
37,left Primary somatosensory area,SSp-L,30.0,7.0,2331.0,12.1535,191.79660180195006
44,"left Primary somatosensory area, nose",SSp-n-L,37.0,8.0,269.0,1.509703125,178.1807267571232
45,"left Primary somatosensory area, nose, layer 1",SSp-n1-L,44.0,9.0,182.0,0.2028125,897.3805855161787
46,"left Primary somatosensory area, nose, layer 2/3",SSp-n2/3-L,44.0,9.0,56.0,0.3201875,174.89752098379856
47,"left Primary somatosensory area, nose, layer 4",SSp-n4-L,44.0,9.0,3.0,0.274109375,10.944536282277832
48,"left Primary somatosensory area, nose, layer 5",SSp-n5-L,44.0,9.0,5.0,0.283515625,17.635712317442824
49,"left Primary somatosensory area, nose, layer 6a",SSp-n6a-L,44.0,9.0,22.0,0.402328125,54.68173521301799
50,"left Primary somatosensory area, nose, layer 6b",SSp-n6b-L,44.0,9.0,1.0,0.02675,37.38317757009346
51,"left Primary somatosensory area, barrel field",SSp-bfd-L,37.0,8.0,769.0,3.145734375,244.45802103046287
